title,link,在线直播t,企业合作t,活动会议t,新品上市t,在线直播,tag1,企业合作,tag2,活动会议,tag3,新品上市,tag4,predict
金蝶云创：走出一条与众不同的云转型之路！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564104&idx=1&sn=f10fe4f5473bf42a5ae2f15961954776&chksm=be8b602889fce93effa2cf8e44c405a1a4a27d5b356dc0d490b219158eb1c6e71665019e2ac7#rd,0,0,0,0,0,[],8,"['效率', '选择', '伙伴', '传统', '共赢', '解决', '高效', '搭建']",1,['邀请'],3,"['助力', '上线', '解决方案']",活动会议
金利通软：抓住云转型趋势，抢占新商业社会先机！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564100&idx=1&sn=dd70e3f6cf42212f4a09aabbd36b24b8&chksm=be8b602489fce932db60eeacf1d15ee6d9b5480d3857db1b3c36fb2db3be9cf6bf0cfc4a1fb1#rd,0,0,0,0,0,[],6,"['效率', '成本', '伙伴', '解决', '高效', '携手']",1,['参加'],1,['助力'],企业合作
金友商：成长型伙伴如何做好云转型！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564096&idx=1&sn=bb176504f287ffe6e30eb7fd931caa2b&chksm=be8b602089fce9361a77cb8331657ce4bf082b31d8afc5adf035e4be7daf1b23272c8050b4ab#rd,0,0,0,0,0,[],4,"['伙伴', '传统', '签约', '共赢']",3,"['参加', '大会', '邀请']",2,"['助力', '解决方案']",活动会议
金普蝶：云转型路上的三项修炼！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564089&idx=1&sn=d983033deff481004843404d3cc5a22a&chksm=be8b63d989fceacf8ad9b23b353bef4eee80d583c7d9a3120f968dc7d98865e9997c53671587#rd,0,0,0,0,0,[],3,"['伙伴', '合作', '需求']",2,"['参加', '举办']",0,[], 
2019金蝶云转型先锋伙伴腾飞训练营•北京站成功举办！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564084&idx=1&sn=4eedc1ae1dff0a704f4e51714855390c&chksm=be8b63d489fceac2df45aff7c6029db388488746810d19b98465cbc9a765619c826f07107c69#rd,0,0,2,0,0,[],8,"['效率', '伙伴', '合作', '传统', '共赢', '案例', '需求', '成本']",6,"['参加', '现场', '探讨', '举办', '会议', '致辞']",3,"['助力', '解决方案', '开放']",活动会议
2019金蝶渠道高价值鸿蒙班第2期（成都站）成功举办！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564079&idx=1&sn=aaf36c706512151d86e99618ed913e1e&chksm=be8b63cf89fcead932b44d0baa744f30f95601b96ad85535d5fee09bc8870e53dff4609ebb47#rd,0,0,1,0,0,[],7,"['效率', '伙伴', '案例', '共赢', '解决', '需求', '成本']",6,"['参加', '主办', '邀请', '会议', '举办', '致辞']",2,"['推出', '全新']",活动会议
第二期金蝶中国伙伴商学院伙伴高潜班成功举办！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564074&idx=1&sn=0ce9def742c0ba062dbf0825ccc7791b&chksm=be8b63ca89fceadcbb9c0ea8d7b0705ed16c485dd52a01c3facb685e84985e0f811968628790#rd,0,0,1,0,0,[],3,"['伙伴', '共赢', '搭建']",5,"['参加', '邀请', '举办', '致辞', '活动']",1,['助力'],活动会议
金蝶中国“建设美满家庭学习会”，激发个体心之力！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564066&idx=1&sn=972552ef82bb4c3d79a17e9ae86dbed7&chksm=be8b63c289fcead4d03d44920e33bb0fd5bf82e4f6a944acf1560fd3af7ebb946c8ad1dc7767#rd,0,0,0,0,0,[],1,['传统'],1,['举办'],0,[],活动会议
金秋九月，金蝶中国渠道伙伴百场“建设美满家庭”学习会正式启动！,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564062&idx=1&sn=47750b391d6c55a215dae95b8b0689d5&chksm=be8b63fe89fceae84066d46b4fdaecb4a27a9632c7717534c2d29a099042fda42eb42120c170#rd,0,0,0,0,0,[],4,"['伙伴', '启动', '共建', '共同']",5,"['参加', '现场', '会议', '举办', '活动']",1,['全新'],活动会议
​  最美家庭 可学而至 ——金蝶集团致良知领读志愿者学习会庄严启动,http://mp.weixin.qq.com/s?__biz=MjM5NDcwNjI1NQ==&mid=2650564054&idx=1&sn=0c4fe2f6050b7a8fd085bd1eb3642f00&chksm=be8b63f689fceae0a57297a4ccfe1b8b363ea3672bb86f94121ccbba48a817c7e9c370e184af#rd,0,0,0,0,0,[],3,"['伙伴', '启动', '共同']",4,"['致辞', '参会', '活动', '会场']",0,[],活动会议
