title,link,在线直播t,企业合作t,活动会议t,新品上市t,在线直播,tag1,企业合作,tag2,活动会议,tag3,新品上市,tag4,predict
2020年上半年重磅报告&精华文章大盘点,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604593&idx=1&sn=0454bbbe0259931a07d426da7c0bc10d&chksm=bd1d71e78a6af8f123b8eb8bcc11da8e960268886ac3fdded0e425e52e0b11a4f946b23c8db3#rd,0,0,0,0,1,['直播'],7,"['启动', '联合', '合作', '传统', '案例', '共建', '共同']",8,"['大会', '邀请', '探讨', '举办', '开幕', '讲座', '活动', '峰会']",4,"['发布', '全新', '助力', '开放']",在线直播
【新商业攻守道】第6期\通往客户运营商（C2B）之路,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604561&idx=1&sn=b5826952f612e31ee5b8164a14ca4ecf&chksm=bd1d71c78a6af8d1fd38a39d98eaf15eb316b6d63cef90a77ad69524152ccf14c93f371e5c27#rd,0,0,0,0,1,['直播'],11,"['效率', '选择', '合作', '传统', '案例', '解决', '共建', '共同', '需求', '搭建', '成本']",1,['邀请'],2,"['全新', '开放']",在线直播
300明星抢登淘宝直播，明星破圈加持直播的商业价值,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604464&idx=1&sn=13b3e4e41f68e2f17dbe04ccbfe91bc0&chksm=bd1d71668a6af870979f1f15ff611097bab9110415262cfc6c619fa9fd436ff325aac92b100d#rd,2,0,0,0,1,['直播'],9,"['启动', '双方', '选择', '签署', '合作', '案例', '共建', '共同', '签约']",4,"['现场', '举办', '邀请', '活动']",4,"['发布', '推出', '助力', '开放']",在线直播
代表委员热议淘宝直播 新业态成经济助推新势能,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604439&idx=1&sn=efc7b1c5fbc622659368b4c9a7e5f866&chksm=bd1d71418a6af8575a698806bc6e13cd2226c6e05112b07d50667d674f482b7a18704c860597#rd,1,0,0,0,1,['直播'],9,"['启动', '选择', '联合', '合作', '传统', '案例', '共建', '共同', '需求']",2,"['开幕', '会场']",4,"['助力', '上线', '发布', '开放']",在线直播
疫情大考下中国消费零售新机遇\大咖视点,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604439&idx=2&sn=e4b8705556b83ecc0e84da1c18997ed0&chksm=bd1d71418a6af857da960ecfce7f38b7f98973e957ce58b54c36275929258003a68e6266e344#rd,0,0,0,0,1,['直播'],10,"['效率', '联合', '合作', '传统', '案例', '共建', '共同', '高效', '需求', '成本']",2,"['现场', '活动']",4,"['助力', '推出', '上线', '开放']",在线直播
《2020中国市场IP电商指数报告：母婴亲子篇》发布【附下载】,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604420&idx=1&sn=7a4cab56e6af285cb6afa8c4e4516988&chksm=bd1d71528a6af84476fff69334ac1b7684779d1aeabba30b9240ac69b337eaab924bb22d6d73#rd,0,0,0,1,1,['直播'],4,"['合作', '案例', '共建', '共同']",0,[],3,"['发布', '推出', '开放']",新品上市
第二轮“新冠肺炎疫情下中小微企业生存状态调查”邀请函,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604420&idx=2&sn=161cfd270abb6a0eff5f6de0d1c05da7&chksm=bd1d71528a6af844ca9fca912759701eb0066ebdb9a32889647cdb9f435e83293ddb29db2258#rd,0,0,0,0,0,[],5,"['启动', '合作', '案例', '共建', '需求']",1,['邀请'],2,"['发布', '开放']",活动会议
安筱鹏、姜奇平、梁春晓对话数字基础设施与消费主权崛起,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604377&idx=1&sn=4f76bce5094797c05cbc35c8e0750482&chksm=bd1d7e8f8a6af7994264b4217743ad4abeeda705b52bb247053418cbebebd00fd132996e55c0#rd,0,0,0,0,1,['直播'],9,"['效率', '合作', '传统', '案例', '解决', '共建', '高效', '需求', '成本']",2,"['邀请', '活动']",4,"['全新', '开放', '解决方案', '新品']",在线直播
2020财年交易额破1万亿美元，阿里巴巴凭什么？,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604284&idx=1&sn=a230c1e141eee78e51f0aae8a20f70aa&chksm=bd1d7e2a8a6af73cc4aeae4b3c5389e5d4dac1543a7d862d0e441849c16187bbe656e4f4f8ea#rd,0,0,0,0,1,['直播'],10,"['启动', '效率', '联合', '合作', '传统', '案例', '共建', '需求', '搭建', '成本']",0,[],4,"['助力', '上线', '发布', '开放']",在线直播
阿里巴巴联袂长江商学院，寻找“数智创新60人”,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604284&idx=2&sn=92e18a13f937d1b06d014d620ec2e782&chksm=bd1d7e2a8a6af73c6ec5b9209758ff98f730aba5a41fbf7ec3d1a5aa93586d63accd298c68be#rd,0,0,0,0,0,[],5,"['合作', '案例', '共建', '共同', '需求']",0,[],2,"['全新', '开放']",企业合作
新基建呼唤新治理\聚焦新基建,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604256&idx=1&sn=4806c8cd1e31213f401c7c808a4a8d64&chksm=bd1d7e368a6af72058117aa3a973a1b0b8af6640f51a7d9e42d11cdbd188749b553d9b04147e#rd,0,0,0,0,1,['直播'],10,"['效率', '选择', '合作', '传统', '案例', '共建', '共同', '高效', '需求', '搭建']",2,"['会议', '活动']",3,"['推出', '助力', '开放']",在线直播
解码“阿里式助农”范本的三重启示,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604256&idx=2&sn=0fe6f899106539ef2574df521efda663&chksm=bd1d7e368a6af7208f85f5ad1ff888852799ca9de996bb4e400efb6d39fc36be739e100d93a9#rd,0,0,0,0,1,['直播'],9,"['启动', '联合', '合作', '传统', '案例', '解决', '共建', '共同', '高效']",1,['参加'],5,"['推出', '上线', '开放', '助力', '发布']",在线直播
数字消费券，疫情之下消费重启的重要力量——基于杭州消费券的实证研究及政策建议,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604242&idx=1&sn=b1bb302b5e67be9459f6e25fde73245e&chksm=bd1d7e048a6af712d7edc26d47d7540557ef2abd351b399a1753e150303426df8422da6edeb8#rd,0,0,0,0,0,[],5,"['联合', '合作', '案例', '共建', '需求']",1,['活动'],1,['开放'],企业合作
天猫618要发100亿现金消费券，迎疫情后最大消费季,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604242&idx=2&sn=093922b9a8e51276df52c31ecf5f3786&chksm=bd1d7e048a6af7128ef9a5ba97f8b07f23c6fa05ec07c448e6f42aacc010487d14a6b0628ca2#rd,0,0,0,0,1,['直播'],8,"['效率', '合作', '案例', '解决', '共建', '高效', '需求', '成本']",1,['参加'],1,['开放'],在线直播
解局阿里大健康数字基建,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604211&idx=1&sn=4e63815ae5b5e3d544acad6dd8773c0e&chksm=bd1d7e658a6af7735ef90a49f2d9270e895b39c265200db02f9b8271bec21661f001c55ef8ef#rd,0,0,0,0,0,[],10,"['启动', '效率', '合作', '传统', '案例', '共建', '共同', '高效', '搭建', '联手']",1,['开幕'],5,"['推出', '上线', '开放', '全新', '助力']",企业合作
【报告解读】数据中台有效助力乳业数字化进程,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604204&idx=1&sn=ea276e7e3875a44d8dcd642ceb957597&chksm=bd1d7e7a8a6af76cc23a23da3a915d85cd5f90128b10c9f15749a1d82773f2bfc1b3273ce25d#rd,0,0,0,0,0,[],11,"['效率', '合作', '传统', '案例', '解决', '共建', '共同', '高效', '需求', '搭建', '成本']",1,['活动'],4,"['发布', '助力', '解决方案', '开放']",企业合作
2021年中国淘宝村高峰论坛举办地招募启动,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604204&idx=2&sn=a3046111425330d6bd5fd7adffe69ee8&chksm=bd1d7e7a8a6af76c985873b4e0db4a0ab7a02f315b6af240c2411263aaf738a3bcb830cfa744#rd,0,0,1,0,0,[],6,"['启动', '合作', '案例', '共建', '共同', '搭建']",10,"['参会', '现场', '大会', '主办', '会议', '举办', '探讨', '会场', '活动', '峰会']",2,"['助力', '开放']",活动会议
安筱鹏：数字基建的科学发展观,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604187&idx=1&sn=836d14897043e5a9aa4e1deacd40ee3c&chksm=bd1d7e4d8a6af75b2314da37511fd9bef49eb1c11a918508adf8456763daae6427a29329c927#rd,0,0,0,0,1,['直播'],10,"['效率', '联合', '合作', '传统', '案例', '共建', '高效', '需求', '成本', '签约']",1,['举办'],4,"['发布', '助力', '解决方案', '开放']",在线直播
金融+AI，智能时代银行客服中心的转型与发展\案例酷,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604155&idx=1&sn=e91b0ba4e0d5b414f68a4099b029e0d6&chksm=bd1d7fad8a6af6bbb984cb4cee52026c26b9dfd2efd4e445774a7af5815b150d74892aeff54c#rd,0,1,0,0,0,[],14,"['双方', '效率', '选择', '联合', '合作', '传统', '案例', '解决', '共建', '成本', '高效', '需求', '携手', '签约']",2,"['现场', '训练']",6,"['推出', '上线', '开放', '全新', '助力', '解决方案']",企业合作
安筱鹏、姜奇平、梁春晓对话数字基础设施与企业数字化转型,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652604104&idx=1&sn=06b1a107a495ce8cf22dedbde6e82cb4&chksm=bd1d7f9e8a6af6887e7759a1acb7dc0c5ff35ed54f1bfb88b71e95dc2b69d09fc9d4ad6c1c71#rd,0,0,0,0,1,['直播'],11,"['效率', '选择', '合作', '传统', '案例', '解决', '共建', '共同', '高效', '需求', '成本']",2,"['邀请', '活动']",3,"['全新', '解决方案', '开放']",在线直播
做好危机复盘：调战略、练组织、观自我\大咖视点,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603980&idx=1&sn=6d3eeb45b5eabb42836b17b542c515e7&chksm=bd1d7f1a8a6af60c79f3d68491c9230ad56809bb96c085b83d0959057187444e547dca0c2a4a#rd,0,0,0,0,1,['直播'],8,"['启动', '联合', '合作', '案例', '共建', '共同', '需求', '成本']",0,[],4,"['发布', '推出', '助力', '开放']",在线直播
《数字经济助力小微企业创立与成长》报告发布，数字经济助力“草根”家庭创业【附下载】,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603965&idx=1&sn=3d31eec953279c157d68b0fe95f09e4f&chksm=bd1d7f6b8a6af67d65cd25da93c57fc55460aa5fd26ad14d4062c9dc6122200e79e08db3af1a#rd,0,0,0,1,1,['直播'],6,"['联合', '合作', '案例', '解决', '共建', '成本']",0,[],4,"['助力', '上线', '发布', '开放']",新品上市
行则将至：数智化重构增长力量\数智洞察,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603945&idx=1&sn=42408d905b562c862ae49238374173c8&chksm=bd1d7f7f8a6af66924e86393c6d72e63b87428afb0a4b0fee22cee0d20fe93baa85660b2326c#rd,0,0,0,0,0,[],8,"['联合', '合作', '传统', '案例', '共建', '高效', '需求', '携手']",1,['议程'],3,"['全新', '助力', '开放']",活动会议
今天15：00，欢迎参加“数字化转型伙伴行动云启动会”,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603945&idx=2&sn=58b0a5e0ee9537439a8caee8bb2e3199&chksm=bd1d7f7f8a6af6690a64a5453957397905261569d61f6bddec9088a17aab630afa0efd5cc6e0#rd,0,0,0,0,0,[],5,"['启动', '伙伴', '合作', '案例', '共建']",1,['参加'],1,['开放'],企业合作
安筱鹏、吕本富、刘松对话数字基建的价值：从连接到赋能,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603922&idx=1&sn=d0d2dca3430dae25382d5038038b9e59&chksm=bd1d7f448a6af652a96480b89b1c7da23fb21464de52a7420582c4b9842794687a8f42fb3729#rd,0,0,0,0,1,['直播'],12,"['效率', '选择', '合作', '传统', '案例', '解决', '共建', '共同', '高效', '需求', '搭建', '成本']",1,['邀请'],3,"['推出', '开放', '新品']",在线直播
高红冰：疫情之危与新商业之机\新商业观察,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603847&idx=1&sn=5a090c52bcbd2cbd50b282bbace36e83&chksm=bd1d7c918a6af5874d0eb085bdea1f286a5d66f53f6f25fdc427d1e85b39c99bcd2936ffa5f4#rd,0,0,0,0,1,['直播'],16,"['启动', '双方', '效率', '选择', '联合', '签署', '传统', '合作', '共建', '解决', '协议', '案例', '共同', '需求', '搭建', '成本']",6,"['参加', '主办', '探讨', '举办', '活动', '峰会']",4,"['助力', '推出', '上线', '开放']",在线直播
东华水泥：给水泥生产装上“工业大脑”\案例酷,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603823&idx=1&sn=bf66397df9d73ab1c3c7f18cc0d9cc43&chksm=bd1d7cf98a6af5ef3c839419a93a0e1ab48c7537b6f7218a480056cac76bc4151e0bf6f8e49e#rd,0,1,0,0,0,[],9,"['双方', '联合', '合作', '案例', '解决', '共建', '高效', '搭建', '成本']",1,['训练'],1,['开放'],企业合作
首发\2020中国消费品牌报告发布，国货崛起正当时【附下载】,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603620&idx=1&sn=a40fb0f12e128c28b89a5513fc8b5f6a&chksm=bd1d7db28a6af4a403859e7cb41721801c15b398db758476971eb9d1665d7a011df7880d3b2c#rd,0,0,0,1,1,['直播'],8,"['效率', '选择', '合作', '传统', '案例', '共建', '需求', '成本']",0,[],6,"['上线', '开放', '新品', '全新', '助力', '发布']",新品上市
重启夜经济，报告解秘！【附下载】,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603606&idx=1&sn=69cd646ec141a4d32e726ec8b8751caa&chksm=bd1d7d808a6af4962083f5381b1c4a8860a10e2cf30ae01837136303a05c8c38feb4d77e9523#rd,0,0,0,0,1,['直播'],4,"['合作', '案例', '共建', '需求']",0,[],2,"['全新', '开放']",在线直播
“云展平台”落沪 张勇：向世界展示新的商业力量,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603606&idx=2&sn=e84d79a06c685859e8af448a6eefdb9c&chksm=bd1d7d808a6af49692e060c44f380c63c19bd4b301ee26fcfe2b6331de27ec48c961ec5f8b23#rd,0,0,0,0,1,['直播'],6,"['双方', '合作', '案例', '共建', '共同', '搭建']",1,['现场'],6,"['上线', '开放', '新品', '全新', '发布', '解决方案']",在线直播
吴志刚：新基建背景下数据要素治理、流通与开发\大咖视点,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603606&idx=3&sn=a9c1a38d118227e4cb9520b1901b96bd&chksm=bd1d7d808a6af4969b6444562f4d41120078c9b0bfbaa0e1247c4200584b0ca0b099b81982d7#rd,0,0,0,0,1,['直播'],4,"['合作', '案例', '共建', '搭建']",0,[],1,['开放'],在线直播
徐梦周 : 新基建有新特征，充分发挥市场作用是关键\聚焦新基建,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603590&idx=1&sn=5ebcbbe044c9580b6a134d7be718c033&chksm=bd1d7d908a6af486a2a8fd765a44625aa2b70e1661bd1057675e340375e8e2601dc28b4f8f42#rd,0,0,0,0,0,[],7,"['合作', '案例', '传统', '共建', '共同', '需求', '搭建']",1,['会议'],1,['开放'],企业合作
阿里发布文娱消费大数据，95后vs 85后 文化观念存在差异,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603578&idx=1&sn=d7a6ade4681c85bd4056244a345a41c2&chksm=bd1d7dec8a6af4faa5b79b8fcbdc49095fde4210e097f77472cfdfc96f3445141b2258f66b76#rd,0,0,0,1,0,[],7,"['选择', '联合', '合作', '传统', '案例', '共建', '共同']",0,[],3,"['发布', '推出', '开放']",新品上市
那些抢购卡地亚的年轻人\超级品牌,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603566&idx=1&sn=cdd74e143361ecf3e2fec9385939abf6&chksm=bd1d7df88a6af4eef2805d5f97685928b1c8cc93d8fe33fecd4964841f13e50661851b17f813#rd,0,0,0,0,1,['直播'],8,"['协助', '双方', '选择', '合作', '案例', '共建', '共同', '需求']",2,"['举行', '活动']",7,"['推出', '上线', '开放', '新品', '全新', '助力', '发布']",在线直播
安筱鹏、吕本富、刘松对话新基建：新基建，到底新在哪里？,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603561&idx=1&sn=c258c71f0796585a24eaa44c61c05ea8&chksm=bd1d7dff8a6af4e9c78e30154192081d56e9de9e46beb1782766140323a7003453a892c77e84#rd,0,0,0,0,1,['直播'],10,"['效率', '合作', '传统', '案例', '解决', '共建', '高效', '需求', '成本', '签约']",2,"['会议', '邀请']",2,"['解决方案', '开放']",在线直播
内外协同双在线，金融企业“数字化内功”的修炼\案例酷,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603549&idx=1&sn=81e338e60e444a2e394282cf97649b57&chksm=bd1d7dcb8a6af4dd3a7aba707ac8ff95eb24bf0dcd0d3b66258904a85637ea24e226f641edac#rd,0,1,0,0,1,['直播'],10,"['双方', '效率', '联合', '合作', '案例', '解决', '共建', '共同', '高效', '需求']",6,"['参加', '日程', '主办', '会议', '训练', '峰会']",3,"['发布', '上线', '开放']",企业合作
行业数智化转型的路线图｜数智洞察,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603541&idx=1&sn=c37995a88011499c8c995e326ef76845&chksm=bd1d7dc38a6af4d5347eb7bb01c9a5ec55b3998886917d966266b973a5c905f224353d9be990#rd,0,0,0,0,0,[],8,"['效率', '合作', '传统', '案例', '共建', '高效', '需求', '携手']",0,[],5,"['推出', '上线', '开放', '新品', '解决方案']",活动会议
电子消费券为消费复苏按下“快进键”,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603527&idx=1&sn=e1f078dfbacf50b4fdc84e5e25da4f6a&chksm=bd1d7dd08a6af4c6064f779b8ba9e02a61df8b6a76dc53f6aa72e71d#rd,0,0,0,0,0,[],6,"['合作', '案例', '传统', '解决', '共建', '需求']",2,"['会议', '活动']",3,"['推出', '上线', '开放']",活动会议
安筱鹏、吕本富、刘松对话新基建：历史观、全局观、未来观缺一不可,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603521&idx=1&sn=2a54143371d433cd63528e3418123627&chksm=bd1d7dd78a6af4c1eb73971aaa0db70f26190430ab44897a0377a4f8ab3367be6ec8087b848a#rd,0,0,0,0,0,[],9,"['效率', '合作', '传统', '案例', '解决', '共建', '共同', '高效', '成本']",2,"['邀请', '活动']",2,"['助力', '开放']",企业合作
高德地图发布五一假期出行预测：假期前一日将迎出程拥堵高峰,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603506&idx=1&sn=b5904179f8a114dae76162b85b85e93e&chksm=bd1d7d248a6af4329da76449947feb1ba98a83149936809d10ea0fadc9e79f021a9d01e65500#rd,0,0,0,1,0,[],5,"['联合', '合作', '案例', '解决', '共建']",0,[],2,"['发布', '开放']",新品上市
阿里云宿宸：借数字化的东风为商业地产助力\大咖视点,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603501&idx=1&sn=a54792c4130d8b36601eda39c27fa133&chksm=bd1d7d3b8a6af42d539d1fec2e85c6ebc8e9757a66a84593f4ba148dcfd14ba9e54e727eabf8#rd,0,0,0,0,1,['直播'],8,"['选择', '联合', '合作', '案例', '共建', '共同', '需求', '搭建']",0,[],3,"['推出', '助力', '开放']",在线直播
安筱鹏：新商业文明呼唤数字时代的企业家精神,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603497&idx=1&sn=379627dbde4286c54f6b5e808de0fc48&chksm=bd1d7d3f8a6af429ac9573565dd01199c88b5ed7dbb22db4c269d6dd5c8836760067a1d19e4e#rd,0,0,0,0,1,['直播'],11,"['效率', '选择', '合作', '传统', '案例', '解决', '共建', '共同', '高效', '需求', '成本']",2,"['参加', '活动']",4,"['发布', '助力', '开放', '新品']",在线直播
姜奇平：新基建应该是新的\聚焦新基建,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603490&idx=1&sn=c3f6eb7f98773346f45f489bb7b4c0de&chksm=bd1d7d348a6af42292f6f8fda712fcc001adc3d4208a7a9896aaa2711c019b42fb9003a3bc9b#rd,0,0,0,0,0,[],8,"['选择', '合作', '传统', '案例', '共建', '共同', '需求', '搭建']",0,[],1,['开放'],企业合作
徐晓兰：提速数字基建，激活高质量发展源动力,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603490&idx=2&sn=f99b4fc1df852849f43eab388dc66edb&chksm=bd1d7d348a6af422ec971d710a27216a182696e58c7d01a5e6f9f09a6d905d1b133904bf93b4#rd,0,0,0,0,1,['直播'],10,"['效率', '选择', '合作', '传统', '案例', '解决', '共建', '高效', '需求', '成本']",2,"['会议', '活动']",1,['开放'],在线直播
《2020饿了么蓝骑士调研报告》：300万骑手升级为“饿了么蓝骑士” 90后占比达47%,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603482&idx=1&sn=264a5e746ee9ea3f83ecf140e49d39be&chksm=bd1d7d0c8a6af41a1e948192c67d9b9e83e53fa6105d5a9d1813d93dd30824fba4ad38b31101#rd,0,0,0,0,1,['直播'],7,"['选择', '伙伴', '联合', '合作', '案例', '解决', '共建']",0,[],4,"['发布', '推出', '上线', '开放']",在线直播
饿了么：已为国家级贫困县增30万骑手岗位 2020年将建100个“蓝骑士村”,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603482&idx=2&sn=83857ebdfe27dd6e86671909d15db5a9&chksm=bd1d7d0c8a6af41ae79bbf1e2517e214318f7dc26d05074156919aa1d09440f470cfc2bbc6eb#rd,0,0,0,0,1,['直播'],6,"['选择', '联合', '合作', '案例', '解决', '共建']",1,['现场'],2,"['发布', '开放']",在线直播
何大安：金融大数据与大数据金融,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603482&idx=3&sn=a36152bfa10e4d832b45115c1598fa8c&chksm=bd1d7d0c8a6af41afb6e5806d79b36c14885c0c57a72860f82fa1407a25db098ea75fabbdfde#rd,0,0,0,0,1,['直播'],7,"['选择', '合作', '传统', '案例', '解决', '共建', '共同']",3,"['探讨', '主办', '活动']",1,['开放'],在线直播
撸起袖子加油干！淘宝农民主播，迎来特别的点赞,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603468&idx=1&sn=c95788af158b7d972a0ba201c51d41d3&chksm=bd1d7d1a8a6af40ccf523996e53e8331182e85ac63e6e6194e5c37dcee0ebc027637b42a644d#rd,0,0,0,0,1,['直播'],4,"['合作', '案例', '共建', '成本']",0,[],2,"['发布', '开放']",在线直播
大咖对话新基建 \ “新商业攻守道”首期预告,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603463&idx=1&sn=41784aef073bf667a36162bdb02f7c7b&chksm=bd1d7d118a6af4073855f035dba9c8209c45712ca30a02775745324b518b8f235be4fb0cc871#rd,0,0,0,0,1,['直播'],3,"['合作', '案例', '共建']",2,"['会议', '邀请']",2,"['推出', '开放']",在线直播
马云对话白岩松，29分钟视频刷屏！,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603456&idx=1&sn=01f3590a27b1a5f8166c7769846348be&chksm=bd1d7d168a6af4005e3f3aba8b066eea86697549e7f826acfa9198c5fcaeec43c607b288744d#rd,0,0,0,0,1,['直播'],9,"['启动', '效率', '选择', '联合', '合作', '案例', '共建', '共同', '成本']",1,['探讨'],2,"['发布', '开放']",在线直播
齐鲁粮油：公益物资捐赠背后的数字化力量\案例酷,http://mp.weixin.qq.com/s?__biz=MjM5NTg0NDE1Mw==&mid=2652603450&idx=1&sn=54e352741df025a8a1d0b89029365e08&chksm=bd1d7d6c8a6af47a55b6725ea4176940ec5e4bc04dac8f37556b3faa4b4d02acf1d104bfe1b8#rd,0,1,0,0,0,[],12,"['协助', '效率', '成本', '合作', '传统', '案例', '解决', '共建', '共同', '需求', '搭建', '携手']",2,"['会议', '训练']",4,"['助力', '上线', '发布', '开放']",企业合作
